timestamp,biomass,fossil_brown_coal,B03,fossil_gas,fossil_hard_coal,fossil_oil,geothermal,hydro_pumped,hydro_run,hydro_reservoir,other_renewable,solar,waste,wind_offshore,wind_onshore,other
2026-01-01 00:00:00+00:00,4134.677559,3081.938225,576.6825,5592.97174725,4449.57967475,395.45,34.85774,706.5672500000001,1010.9521425,102.381475,84.590849,14.615829999999999,654.0074997500001,4043.733,34757.015379000004,219.09746
2026-01-01 01:00:00+00:00,4063.718793,2815.7542574999998,575.8541675,4855.6674175,4517.20427925,395.386665,35.125879999999995,942.1113250000001,983.069535,60.14405,84.972712,14.699636,622.3955000000001,4889.68925,35528.139187,219.11471
2026-01-01 02:00:00+00:00,4026.4608900000003,2344.6465375,606.0108325,4499.541749999999,4429.10574425,,35.33049,1193.722475,968.31012,18.008,85.176893,15.808198,622.38274975,5394.4087500000005,36689.717445,219.18796
2026-01-01 03:00:00+00:00,3952.944764,2329.3797325,615.487955,4453.836992250001,4401.857806,,35.39454,2106.242275,964.7876425,13.7425,84.97326699999999,12.343347999999999,622.231,5326.078750000001,37209.971647,219.15146
2026-01-01 04:00:00+00:00,3959.531891,2331.3170250000003,580.1850025,4484.23683475,4316.273161,,35.47546,2283.16385,978.2736600000001,13.781500000000001,83.085895,12.094904,625.1239997499999,4446.957,37774.658418,218.94746
2026-01-01 05:00:00+00:00,3967.644117,2514.60746,605.799165,4545.2228350000005,4322.66403175,468.95731775,35.47302,3068.859125,956.02702,15.42175,82.06345400000001,11.975,618.0815,3176.5595,40547.330539,218.82196
2026-01-01 06:00:00+00:00,4007.967649,2433.849,620.6524999999999,4600.50024975,4280.23441925,,35.61969,3095.93015,950.56966,88.096025,81.949774,15.326803000000002,616.745,2508.47975,41591.89246,202.46521
2026-01-01 07:00:00+00:00,4046.572637,2378.15059,619.7550075,4448.19525,4260.61124375,395.39,35.368880000000004,2967.5054,933.49648,58.207425,82.300007,442.677703,623.4219997499999,3416.21325,41812.601235,193.83496
2026-01-01 08:00:00+00:00,4036.352239,2567.4133874999998,580.68417,4406.644667500001,4433.9854425,,31.64775,3414.85395,944.191865,16.51125,82.224473,2994.251624,629.7435,4447.6942500000005,41422.14175,193.77746000000002
2026-01-01 09:00:00+00:00,3988.666547,2628.6306025,568.9908375,4493.7815825,4390.2878,395.58333500000003,31.0255,4691.716875,975.2503975,40.804725,82.251514,5820.991514,630.6052500000001,5024.35475,41389.825043000004,193.74596
2026-01-01 10:00:00+00:00,3962.595502,2627.238295,567.3408325,4328.26866725,4099.4001645,,32.41329,5121.2591,1003.481235,52.6198,82.55953199999999,7947.342205,632.6792499999999,5326.049,41760.495362,193.54946
2026-01-01 11:00:00+00:00,3921.252378,2615.7276,567.7783325,4338.63025,4005.4924284999997,395.45333500000004,32.27753,5441.3330750000005,1013.8746975,125.888325,81.925633,8433.745728,630.924,5371.315,41786.171694000004,193.63221
2026-01-01 12:00:00+00:00,3924.299637,2600.0190275,558.1233374999999,4234.8609175,3897.713124,395.383335,31.88561,4857.43915,1002.774555,108.15385,78.741503,7190.161236,636.216,5558.889999999999,42677.730075,193.48171
2026-01-01 13:00:00+00:00,3981.364257,2590.5245675,574.83167,4284.781335,4000.4508914999997,395.45110999999997,31.725569999999998,3264.86305,958.133915,133.22105,78.623483,4492.696957,642.43775,5433.22975,44172.969324000005,193.59971000000002
2026-01-01 14:00:00+00:00,4130.963985,2615.1109525,550.6783375,4372.36,4301.6417665,,31.80039,3432.9845,941.714705,141.76765,81.890652,1691.336721,637.2887499999999,5213.68775,44819.008562999996,203.77221
2026-01-01 15:00:00+00:00,4312.679045,2693.1845925,498.27833499999997,4534.98891725,4666.7094075,,31.82671,3966.8567249999996,1050.7965199999999,109.3325,83.946388,127.47183199999999,632.683,4894.91375,45424.177022,202.42196
2026-01-01 16:00:00+00:00,4407.757685,2643.0371825,522.0850025,4852.1752525,4823.293121000001,,31.66547,4897.6583,1079.8288675,223.717925,83.065139,27.577806,632.38475,4875.1404999999995,44880.449943,194.78846
2026-01-01 17:00:00+00:00,4427.3645670000005,2641.79101,505.920005,4902.606915,4637.23929075,395.386665,31.98613,4372.16995,1084.285985,158.722625,82.969866,28.741806,633.88874975,5207.1915,43368.324079,194.87971
2026-01-01 18:00:00+00:00,4372.038673,2636.1643249999997,523.770835,5038.8994999999995,4663.818505249999,,32.01245,2949.7347000000004,1070.741395,69.002075,82.901588,27.441231,634.9527499999999,4600.6155,43756.174247,194.86621
2026-01-01 19:00:00+00:00,4271.5899,2444.21639,543.985,4559.9914175,4439.903722,395.386665,31.873170000000002,842.070075,1053.56211,32.22655,83.03861,19.032738,639.11575,5576.2015,44453.805671,195.08246
2026-01-01 20:00:00+00:00,4171.3929339999995,2453.3792375000003,578.2775,4494.5284175,4135.41183875,395.686665,31.88286,1795.753925,956.619605,53.22295,83.080798,14.622299,642.468,5566.91075,43314.397942,195.27546
2026-01-01 21:00:00+00:00,4109.333237,2473.6306575,587.386665,4583.65525,4239.37690175,395.52,32.164860000000004,1577.0330250000002,954.188375,17.299675,82.940937,22.683407,640.3072500000001,4941.73875,41151.397849,195.60271
2026-01-01 22:00:00+00:00,3999.214761,2465.9071075,641.3258325,4308.701999999999,4412.2074645,395.45333500000004,32.51668,2691.68955,946.40603,13.371825,80.81948,13.680584,639.74624975,4033.75425,41348.060978,200.72120999999999
2026-01-01 23:00:00+00:00,3903.382548,2671.2063275,603.7175025,4639.47575,4459.39732325,396.852,32.54316,2094.59245,923.38487,13.309249999999999,82.963438,15.440058,630.22675,3799.4785,41601.939948,218.46696
2026-01-02 00:00:00+00:00,3839.8663530000003,2673.71431,572.6308325,4520.642582500001,4616.816190250001,,32.44371,4115.395275,930.6987975,3.92115,83.145174,12.728517,617.43049975,3915.3585000000003,41773.940882,218.37096
2026-01-02 01:00:00+00:00,3814.1184279999998,2686.0770525,542.6183325,4446.9394175,4744.00681325,,32.31548,4508.560475,938.1616675,4.106775,83.104341,12.580093999999999,608.232,4381.768,41756.034456,218.42946
2026-01-02 02:00:00+00:00,3824.448977,2670.7724175,576.8525,4566.34575,4778.73387425,,32.20997,4514.82,933.18314,4.6989,80.426133,12.558038,617.9804995,4459.654500000001,41105.569711000004,218.47746
2026-01-02 03:00:00+00:00,3861.014948,2720.0847224999998,574.2633375,4889.4189175,4544.73857075,,32.0434,4377.4685,934.0255625,5.7372250000000005,81.607851,12.159044,618.40324975,4634.85225,39739.520719,218.42221
2026-01-02 04:00:00+00:00,3918.168715,2716.9597575,561.84833,5430.5963325,4980.12763525,,31.83974,2366.5045499999997,924.73963,13.871175000000001,81.516891,12.018442,623.28525,4585.509,38806.609095,218.57646
2026-01-02 05:00:00+00:00,4058.47258,2839.4233325,566.829165,5935.19925,5651.203402749999,396.991,31.62012,1150.01085,930.447575,52.31207500000001,80.933986,13.337699,613.73124975,4208.0455,38726.588923999996,218.26521
2026-01-02 06:00:00+00:00,4254.765153,3138.8142725,553.4999975000001,6748.32967,6256.7890775,396.99433,31.48676,1093.7464,952.134275,106.20565,81.680807,19.603680999999998,650.23049975,4181.59525,38710.957201,218.35196
2026-01-02 07:00:00+00:00,4422.737057,3604.403145,576.8183349999999,7229.5744125,6318.2888235,396.9054433333333,31.40085,1050.4351,958.063145,54.264625,81.476869,153.374753,662.72225,4241.1805,38338.01015,218.27996
